"","X","site_id","county","date","year","site_name","transect_num","meadow_width_m","emergent_width_m","submergent_width_m","point_num","gps_lon","gps_lat","water_depth_cm","bottom_vis","substrate_type","org_depth_cm","unvegetated_pcnt","total_cover_pcnt","standing_dead_pcnt","detritus_pcnt","variable","Hydrocharis.morsus.ranae","Phragmites.australis","Phragmites.australis..native.","Typha.angustifolia","Typha.glauca","Typha.glauca..hybrid.","Typha.latifolia","Typha.sp.","typha_combined","hyd_bin","typh_bin","UTM","UTM_X","UTM_Y"
"1",1,421,"Wayne","8/20/2014",2014,"Round Island Wetland",1,0,3,15,7,-83.166075,42.089415,3,"V","Pbl/Cbl",0,5,95,35,80,"percent_cover",5,0,0,0,0,0,0,0,0,1,0,"17N",817095.988935146,4666820.78692295
"2",2,421,"Wayne","8/20/2014",2014,"Round Island Wetland",1,0,3,15,9,-83.16612,42.089355,30,"V","Pbl/Cbl",0,0,100,40,55,"percent_cover",5,0,0,0,0,0,0,0,0,1,0,"17N",817092.565822818,4666813.95635091
"3",3,421,"Wayne","8/20/2014",2014,"Round Island Wetland",3,0,5,20,9,-83.164395,42.091469,22,"V","Pbl/Cbl",0,0,100,15,80,"percent_cover",0,0,0,0,20,0,0,0,20,0,1,"17N",817224.708174026,4667055.13999953
"4",4,421,"Wayne","8/20/2014",2014,"Round Island Wetland",3,0,5,20,10,-83.164391,42.091468,45,"V","Pbl/Cbl",0,0,100,5,15,"percent_cover",0,0,0,0,60,0,0,0,60,0,1,"17N",817225.044036539,4667055.04381319
"5",5,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",1,18,25,63,6,-83.151685,42.100552,0,"Dry","Cly/Slt",5,2,60,20,70,"percent_cover",0,0,0,0,0,12,0,0,12,0,1,"17N",818230.565290582,4668111.19167331
"6",6,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",1,18,25,63,7,-83.151619,42.100578,1,"V","Cly/Slt",3,0,68,35,70,"percent_cover",0,0,0,0,0,40,0,0,40,0,1,"17N",818235.893673519,4668114.32531547
"7",7,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",1,18,25,63,8,-83.151547,42.100603,25,"V","Cly/Slt",2,0,35,10,85,"percent_cover",0,0,0,0,0,25,0,0,25,0,1,"17N",818241.723297062,4668117.37028587
"8",8,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",1,18,25,63,9,-83.151496,42.100609,35,"V","Cly/Slt",2,0,36,40,65,"percent_cover",0,0,0,0,0,35,0,0,35,0,1,"17N",818245.911254684,4668118.22685807
"9",9,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",1,18,25,63,10,-83.151402,42.10062,52,"V","Cly/Slt",1,0,16,5,90,"percent_cover",0,0,0,0,0,12,0,0,12,0,1,"17N",818253.630527999,4668119.79911211
"10",10,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",2,0,35,50,6,-83.151601,42.099935,30,"V","Cly/Slt",2,0,41,6,75,"percent_cover",0,0,0,0,0,40,0,0,40,0,1,"17N",818240.602881714,4668042.98321698
"11",11,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",2,0,35,50,7,-83.151526,42.099952,30,"V","Cly/Slt",1,0,96,5,80,"percent_cover",65,1,0,0,0,25,0,0,25,1,1,"17N",818246.720756415,4668045.15092721
"12",12,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",2,0,35,50,8,-83.151454,42.099952,38,"V","Cly/Slt",1,0,87,2,90,"percent_cover",75,0,0,0,0,10,0,0,10,1,1,"17N",818252.675655234,4668045.41949446
"13",13,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",2,0,35,50,9,-83.151379,42.099957,40,"V","Cly/Slt",1,0,100,10,80,"percent_cover",80,0,0,0,0,25,0,0,25,1,1,"17N",818258.853630834,4668046.25453917
"14",14,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",2,0,35,50,10,-83.151306,42.099966,40,"V","Cly/Slt",1,0,38,15,90,"percent_cover",25,0,0,0,0,5,0,0,5,1,1,"17N",818264.846156043,4668047.52635423
"15",15,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,1,-83.152574,42.097531,0,"Dry","Cly/Slt",1,0,90,2,65,"percent_cover",0,90,0,0,0,0,0,0,0,0,0,"17N",818172.166170319,4667772.37497924
"16",16,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,2,-83.152569,42.097501,3,"V","Cly/Slt",1,0,75,6,75,"percent_cover",0,75,0,0,0,0,0,0,0,0,0,"17N",818172.729931325,4667769.06193484
"17",17,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,3,-83.152568,42.09747,12,"V","Cly/Slt",1,0,100,3,75,"percent_cover",0,90,0,0,0,0,0,0,0,0,0,"17N",818172.967859021,4667765.62291806
"18",18,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,4,-83.152556,42.097442,25,"V","Cly/Slt",1,0,100,15,75,"percent_cover",20,80,0,0,0,3,0,0,3,1,1,"17N",818174.100577809,4667762.55808953
"19",19,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,5,-83.152552,42.097416,30,"V","Cly/Slt",1,0,100,15,70,"percent_cover",20,45,0,0,0,35,0,0,35,1,1,"17N",818174.561601477,4667759.68554145
"20",20,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,6,-83.152544,42.097409,40,"V","Cly/Slt",1,0,100,1,80,"percent_cover",85,1,0,0,0,35,0,0,35,1,1,"17N",818175.258332615,4667758.93797955
"21",21,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,7,-83.152523,42.097353,40,"V","Cly/Slt",1,0,87,1,99,"percent_cover",85,0,0,0,0,1,0,0,1,1,1,"17N",818177.275643397,4667752.79713599
"22",22,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,8,-83.15252,42.097317,42,"V","Cly/Slt",1,0,85,5,85,"percent_cover",30,0,0,0,0,40,0,0,40,1,1,"17N",818177.704028736,4667748.81029584
"23",23,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,9,-83.152535,42.097275,53,"V","Cly/Slt",1,0,87,2,85,"percent_cover",0,0,0,0,0,30,0,0,30,0,1,"17N",818176.673669169,4667744.08999479
"24",24,422,"Wayne","7/14/2011",2011,"Elba Island Wetland",3,25,25,125,10,-83.152523,42.097259,80,"V","Cly/Slt",1,0,100,0.5,60,"percent_cover",0,0,0,0,0,85,0,0,85,0,1,"17N",818177.746307035,4667742.35784242
"25",25,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",1,0,75,224,6,-82.80047224,42.58480523,42,"V","Cly/Snd",30,80,20,5,90,"percent_cover",5,0,0,3,10,0,0,0,10,1,1,"17N",844618.638918876,4723263.98400934
"26",26,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",1,0,75,224,7,-82.80040921,42.58471328,48,"V","Cly/Snd",32,88,12,5,15,"percent_cover",2,0,0,3,0,0,0,0,0,1,0,"17N",844624.319462838,4723254.02857171
"27",27,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",1,0,75,224,8,-82.800331,42.58460398,41,"V","Sand",21,0,100,7,100,"percent_cover",4,0,0,72,0,0,0,0,0,1,0,"17N",844631.341653651,4723242.20805692
"28",28,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",1,0,75,224,9,-82.80026638,42.58451312,40,"V","Sand",34,10,90,10,95,"percent_cover",3,0,0,85,0,0,0,0,0,1,0,"17N",844637.146711981,4723232.38017364
"29",29,428,"Macomb","9/20/2016",2016,"Black Creek Area Wetland",1,0,75,224,10,-82.80019471,42.58440257,52,"V","Cly/Snd",41,10,90,10,100,"percent_cover",5,0,0,80,4,0,0,0,4,1,1,"17N",844643.639074787,4723220.39416564
