"","�..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin","folds"
"1",0,1027,1,"7/23/2018","NRRI/UWS",2018,6,"Excellent",85,"NV","Cly/Slt",40,60,40,30,10,"percent_cover",0,0,0,0,0,30,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11960.75111,0,0,0,0,333108.5432,5200001.2,0,0.3,0,1
"2",1,1027,1,"7/23/2018","NRRI/UWS",2018,7,"Excellent",105,"NV","Cly/Slt",50,75,25,20,30,"percent_cover",0,0,0,0,0,15,0,15,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11948.76254,0,0,0,0,333095.8968,5199998.439,0,0.15,0,1
"3",2,1027,1,"7/23/2018","NRRI/UWS",2018,9,"Excellent",60,"NV","Cly/Slt",30,70,30,30,20,"percent_cover",0,0,0,0,30,0,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11922.58208,0,0,0,0,333068.9619,5199991.408,0,0.3,0,1
"4",3,1027,1,"7/23/2018","NRRI/UWS",2018,10,"Excellent",53,"NV","Cly/Slt",30,60,40,20,10,"percent_cover",0,0,0,0,30,0,0,30,"Firesteel River Wetland","Ontonagon","R. Rutherford","J. Rutherford",1,0,250,0,90,20,"First record of Carex michauxiana, Rhynocospora alba, Pogonia ophioglossus, and Salix pedicellaris collected for Ontonagon County.",304,11908.24246,0,0,0,0,333053.788,5199988.163,0,0.3,0,1
"5",4,1152,1,"7/21/2021","NRRI/UWS",2021,6,"Excellent",2,"NV","Sand",70,70,30,70,90,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1021.84605,183.0517578,3.7645199,1570.089966,71.4949036,469417.2344,5158485.9,0,0.3,0,1
"6",5,1152,1,"7/21/2021","NRRI/UWS",2021,7,"Excellent",12,"NV","Sand",130,70,30,50,80,"percent_cover",0,0,0,0,30,0,0,30,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1023.571129,183.0517578,3.7645199,1570.089966,71.4949036,469416.7516,5158481.346,0,0.3,0,1
"7",6,1152,1,"7/21/2021","NRRI/UWS",2021,8,"Excellent",5,"NV","Sand",120,75,25,80,60,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1025.339706,183.0517578,3.7645199,1570.089966,71.4949036,469415.8164,5158478.239,0,0.25,0,1
"8",7,1152,1,"7/21/2021","NRRI/UWS",2021,9,"Excellent",10,"NV","Sand",130,75,25,80,90,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1026.914613,183.0517578,3.7645199,1570.089966,71.4949036,469415.4874,5158473.796,0,0.25,0,1
"9",8,1152,1,"7/21/2021","NRRI/UWS",2021,10,"Excellent",15,"NV","Sand",120,75,25,80,70,"percent_cover",0,0,0,0,25,0,0,25,"Dead River Wetland","Marquette","R. Rutherford","J. Hartsock",1,0,180,30,0,30," ",118,1027.904706,183.0517578,3.7645199,1570.089966,71.4949036,469415.9224,5158468.905,0,0.25,0,1
"10",9,1152,1,"8/1/2016","NRRI/UWS",2016,6,"Excellent",26,"NV","Sand",46,40,60,20,10,"percent_cover",0,0,0,0,50,0,0,50,"Dead River Wetland","Marquette","N. Dahlberg","R. Rutherford",1,0,200,0,32,0,"There wasn't much a wetland here - it was mostly dominated by alders. Our transects were draw in only cattail, however, there were other areas of the wetland with sledges and different emergent plants.",118,1072.769869,183.0517578,3.7645199,1570.089966,71.4949036,469366.2464,5158479.157,0,0.5,0,1
